transaction_id,machine_id,location_city,location_type,refill_date,refill_time,product_id,product_name,product_category,unit_price,quantity_refilled,quantity_sold,current_stock,revenue_generated,refill_person_id,refill_person_name,machine_status,temperature_C,payment_method,avg_customer_rating,downtime_minutes,power_consumption_kwh,network_latency_ms,maintenance_flag,refill_datetime
VMX-10011,VM-004,Hyderabad,College,28-04-2025,18:14:00,P-103,Oreo Pack,Snacks,18.96,25.0,7.0,18.0,132.72,RP-008,Ravi,Working,22.9,Cash,3.5,35.0,3.68,159.0,0.0,2025-04-28 18:14:00
VMX-10012,VM-050,Delhi,Hospital,28-07-2025,06:06:00,P-109,Doritos,Snacks,90.67,82.0,67.0,15.0,6074.89,RP-012,Kiran,Low Power,17.0,Card,2.2,83.0,4.94,100.0,0.0,2025-07-28 06:06:00
VMX-10013,VM-230,Bangalore,Hospital,09-04-2025,06:34:00,P-106,Snickers Bar,Snacks,111.95,47.0,40.0,7.0,4478.0,RP-006,Anita,Low Power,13.7,Cash,3.3,110.0,4.42,100.0,0.0,2025-04-09 06:34:00
VMX-10014,VM-247,Bangalore,Hospital,27-03-2025,13:31:00,P-108,Sprite Bottle,Drinks,127.04,43.0,36.0,7.0,4573.44,RP-002,Amit,Low Power,10.0,UPI,2.8,100.0,4.14,196.0,1.0,2025-03-27 13:31:00
VMX-10015,VM-030,Pune,Metro Station,08-04-2025,09:13:00,P-108,Sprite Bottle,Drinks,102.66,144.0,140.0,4.0,14372.4,RP-002,Deepa,Working,10.8,UPI,3.5,109.0,3.12,79.0,0.0,2025-04-08 09:13:00
VMX-10016,VM-292,Bangalore,Metro Station,26-07-2025,03:56:00,P-102,Bisleri Water,Drinks,19.59,37.0,30.0,7.0,587.7,RP-020,Mahesh,Maintenance,11.2,Card,3.8,66.0,2.27,183.0,0.0,2025-07-26 03:56:00
VMX-10017,VM-038,Hyderabad,Hospital,03-06-2025,14:20:00,P-105,Dettol Wipe,Hygiene,43.42,121.0,117.0,4.0,5080.14,RP-020,Rahul,Working,11.1,Cash,3.5,16.0,4.73,85.0,0.0,2025-06-03 14:20:00
VMX-10018,VM-271,Hyderabad,Metro Station,04-06-2025,19:51:00,P-105,Dettol Wipe,Hygiene,49.9,132.0,115.0,17.0,5738.5,RP-010,Ravi,Working,14.0,Cash,4.2,19.0,2.09,359.0,0.0,2025-06-04 19:51:00
VMX-10019,VM-027,Hyderabad,Hospital,16-09-2025,15:16:00,P-105,Dettol Wipe,Hygiene,38.5,182.0,174.0,8.0,6699.0,RP-009,Mahesh,Working,15.0,Cash,3.9,33.0,1.65,276.0,1.0,2025-09-16 15:16:00
VMX-10020,VM-190,Pune,Metro Station,07-10-2025,01:53:00,P-108,Sprite Bottle,Drinks,11.35,39.0,35.0,4.0,397.25,RP-005,Kiran,Working,10.6,UPI,4.7,101.0,4.89,70.0,1.0,2025-10-07 01:53:00
VMX-10021,VM-209,Pune,Mall,01-07-2025,17:56:00,P-103,Oreo Pack,Snacks,105.49,190.0,187.0,3.0,19726.63,RP-008,Amit,Working,23.2,Cash,2.5,118.0,2.33,260.0,0.0,2025-07-01 17:56:00
VMX-10022,VM-241,Bangalore,Mall,15-07-2025,01:54:00,P-104,Red Bull,Drinks,32.29,199.0,196.0,3.0,6328.84,RP-015,Deepa,Low Power,22.3,Cash,2.7,84.0,1.77,218.0,1.0,2025-07-15 01:54:00
VMX-10023,VM-275,Chennai,College,18-09-2025,12:43:00,P-101,Pepsi Can,Drinks,145.36,91.0,80.0,11.0,11628.8,RP-004,Anita,Working,18.7,UPI,2.1,0.0,2.74,423.0,1.0,2025-09-18 12:43:00
VMX-10024,VM-131,Hyderabad,Hospital,17-07-2025,18:12:00,P-106,Snickers Bar,Snacks,94.87,150.0,147.0,3.0,13945.89,RP-001,Fatima,Maintenance,20.3,Card,4.2,25.0,2.46,85.0,1.0,2025-07-17 18:12:00
VMX-10025,VM-210,Chennai,Hospital,17-09-2025,09:42:00,P-109,Doritos,Snacks,53.95,51.0,42.0,9.0,2265.9,RP-010,Fatima,Working,12.9,Card,4.8,86.0,3.99,139.0,1.0,2025-09-17 09:42:00
VMX-10026,VM-297,Pune,Office,27-05-2025,06:27:00,P-106,Snickers Bar,Snacks,86.71,20.0,11.0,9.0,953.81,RP-015,Rajesh,Low Power,20.1,Card,3.4,115.0,4.84,426.0,0.0,2025-05-27 06:27:00
VMX-10027,VM-121,Delhi,Office,21-06-2025,02:52:00,P-101,Pepsi Can,Drinks,49.73,189.0,169.0,20.0,8404.37,RP-008,Suresh,Working,10.4,Cash,5.0,78.0,4.4,87.0,1.0,2025-06-21 02:52:00
VMX-10028,VM-125,Bangalore,College,16-07-2025,15:25:00,P-106,Snickers Bar,Snacks,134.06,167.0,161.0,6.0,21583.66,RP-004,Kiran,Working,12.6,Card,3.6,6.0,3.23,484.0,0.0,2025-07-16 15:25:00
VMX-10029,VM-259,Mumbai,Metro Station,12-06-2025,14:39:00,P-107,Colgate Mini,Hygiene,28.67,138.0,122.0,16.0,3497.74,RP-015,Amit,Maintenance,22.9,UPI,2.8,31.0,4.36,191.0,1.0,2025-06-12 14:39:00
VMX-10030,VM-164,Pune,College,01-05-2025,08:21:00,P-103,Oreo Pack,Snacks,48.44,39.0,30.0,9.0,1453.2,RP-005,Amit,Working,15.7,Cash,4.1,8.0,2.66,219.0,1.0,2025-05-01 08:21:00
VMX-10031,VM-245,Hyderabad,Office,11-01-2025,18:24:00,P-106,Snickers Bar,Snacks,18.72,127.0,115.0,12.0,2152.8,RP-010,Kiran,Low Power,18.1,Card,3.6,77.0,4.59,299.0,0.0,2025-01-11 18:24:00
VMX-10032,VM-208,Delhi,Mall,22-06-2025,21:43:00,P-104,Red Bull,Drinks,71.02,27.0,15.0,12.0,1065.3,RP-015,Amit,Maintenance,18.0,UPI,3.8,84.0,1.11,379.0,1.0,2025-06-22 21:43:00
VMX-10033,VM-109,Mumbai,Office,14-05-2025,12:20:00,P-102,Bisleri Water,Drinks,131.36,66.0,65.0,1.0,8538.4,RP-011,Kiran,Low Power,21.3,UPI,2.8,10.0,2.88,433.0,0.0,2025-05-14 12:20:00
VMX-10034,VM-103,Kolkata,College,21-01-2025,00:15:00,P-105,Dettol Wipe,Hygiene,41.39,37.0,17.0,20.0,703.63,RP-020,Amit,Working,11.9,Card,2.3,27.0,2.86,181.0,1.0,2025-01-21 00:15:00
VMX-10035,VM-014,Chennai,Metro Station,09-06-2025,03:37:00,P-102,Bisleri Water,Drinks,94.82,49.0,44.0,5.0,4172.08,RP-013,Kiran,Maintenance,13.0,Card,4.1,80.0,1.97,406.0,1.0,2025-06-09 03:37:00
VMX-10036,VM-190,Hyderabad,Metro Station,27-06-2025,17:27:00,P-109,Doritos,Snacks,122.77,164.0,163.0,1.0,20011.51,RP-011,Mahesh,Low Power,22.3,Cash,3.3,46.0,3.54,474.0,1.0,2025-06-27 17:27:00
VMX-10037,VM-276,Kolkata,Hospital,19-05-2025,19:51:00,P-102,Bisleri Water,Drinks,70.97,153.0,133.0,20.0,9439.01,RP-015,Kiran,Maintenance,18.9,UPI,4.6,106.0,4.74,192.0,1.0,2025-05-19 19:51:00
VMX-10038,VM-254,Kolkata,Office,14-07-2025,10:01:00,P-103,Oreo Pack,Snacks,115.07,165.0,146.0,19.0,16800.22,RP-006,Rajesh,Working,15.3,UPI,3.0,112.0,3.38,500.0,1.0,2025-07-14 10:01:00
VMX-10039,VM-251,Pune,Mall,04-05-2025,23:26:00,P-108,Sprite Bottle,Drinks,11.42,68.0,66.0,2.0,753.72,RP-016,Rajesh,Low Power,21.9,Cash,2.9,51.0,3.77,206.0,1.0,2025-05-04 23:26:00
VMX-10040,VM-233,Chennai,Office,19-06-2025,11:44:00,P-107,Colgate Mini,Hygiene,87.49,108.0,95.0,13.0,8311.55,RP-009,Suresh,Working,20.8,UPI,2.4,68.0,4.8,403.0,0.0,2025-06-19 11:44:00
VMX-10041,VM-052,Kolkata,Mall,26-09-2025,19:18:00,P-103,Oreo Pack,Snacks,40.29,143.0,135.0,8.0,5439.15,RP-010,Suresh,Low Power,12.7,Cash,4.1,16.0,2.1,77.0,1.0,2025-09-26 19:18:00
VMX-10042,VM-241,Mumbai,Hospital,07-01-2025,18:18:00,P-102,Bisleri Water,Drinks,99.3,145.0,142.0,3.0,14100.6,RP-011,Amit,Working,13.8,UPI,2.3,8.0,2.6,87.0,0.0,2025-01-07 18:18:00
VMX-10043,VM-286,Kolkata,Hospital,13-02-2025,07:07:00,P-102,Bisleri Water,Drinks,30.89,164.0,155.0,9.0,4787.95,RP-020,Rahul,Maintenance,13.4,Card,3.1,116.0,2.77,490.0,1.0,2025-02-13 07:07:00
VMX-10044,VM-109,Chennai,College,20-02-2025,06:40:00,P-104,Red Bull,Drinks,89.61,35.0,16.0,19.0,1433.76,RP-006,Suresh,Working,18.3,Cash,2.0,57.0,3.76,290.0,1.0,2025-02-20 06:40:00
VMX-10045,VM-120,Chennai,Metro Station,21-08-2025,02:43:00,P-100,Lays Classic,Snacks,42.41,200.0,191.0,9.0,8100.31,RP-007,Kiran,Working,18.2,Card,2.4,34.0,4.31,86.0,0.0,2025-08-21 02:43:00
VMX-10046,VM-240,Delhi,Office,28-05-2025,14:07:00,P-102,Bisleri Water,Drinks,120.97,172.0,154.0,18.0,18629.38,RP-013,Anita,Maintenance,18.1,UPI,2.2,5.0,4.56,426.0,1.0,2025-05-28 14:07:00
VMX-10047,VM-138,Pune,College,11-01-2025,21:52:00,P-109,Doritos,Snacks,45.05,43.0,36.0,7.0,1621.8,RP-006,Rajesh,Maintenance,19.8,UPI,2.5,74.0,2.74,466.0,1.0,2025-01-11 21:52:00
VMX-10048,VM-083,Chennai,Hospital,14-06-2025,21:06:00,P-101,Pepsi Can,Drinks,75.8,124.0,114.0,10.0,8641.2,RP-016,Anita,Maintenance,24.2,Card,2.1,11.0,2.26,215.0,0.0,2025-06-14 21:06:00
VMX-10049,VM-097,Pune,Office,25-08-2025,13:03:00,P-106,Snickers Bar,Snacks,131.09,20.0,3.0,17.0,393.27,RP-020,Rajesh,Maintenance,16.6,Cash,2.6,70.0,1.52,197.0,1.0,2025-08-25 13:03:00
VMX-10050,VM-160,Pune,College,03-05-2025,22:10:00,P-107,Colgate Mini,Hygiene,27,181.0,162.0,19.0,4374.0,RP-018,Kiran,Working,13.4,Cash,3.4,15.0,3.59,128.0,1.0,2025-05-03 22:10:00
VMX-10051,VM-234,Pune,Mall,05-09-2025,15:15:00,P-104,Red Bull,Drinks,81.24,89.0,76.0,13.0,6174.24,RP-013,Suresh,Maintenance,17.6,Cash,4.6,35.0,4.09,487.0,1.0,2025-09-05 15:15:00
VMX-10052,VM-153,Kolkata,Metro Station,02-01-2025,09:46:00,P-105,Dettol Wipe,Hygiene,140.79,149.0,141.0,8.0,19851.39,RP-019,Rajesh,Working,16.7,UPI,3.0,70.0,4.05,243.0,1.0,2025-01-02 09:46:00
VMX-10053,VM-211,Hyderabad,Office,16-07-2025,07:54:00,P-105,Dettol Wipe,Hygiene,131.74,198.0,191.0,7.0,25162.34,RP-016,Kiran,Low Power,24.8,Card,4.9,63.0,4.86,114.0,1.0,2025-07-16 07:54:00
VMX-10054,VM-074,Mumbai,Mall,27-09-2025,14:00:00,P-101,Pepsi Can,Drinks,132.39,132.0,129.0,3.0,17078.31,RP-003,Rajesh,Low Power,15.1,Card,3.2,10.0,4.41,486.0,1.0,2025-09-27 14:00:00
VMX-10055,VM-121,Delhi,Office,19-01-2025,19:04:00,P-105,Dettol Wipe,Hygiene,97.75,144.0,127.0,17.0,12414.25,RP-008,Ravi,Low Power,24.7,Card,4.1,12.0,2.77,405.0,1.0,2025-01-19 19:04:00
VMX-10056,VM-075,Bangalore,Metro Station,03-07-2025,11:27:00,P-100,Lays Classic,Snacks,16.44,34.0,25.0,9.0,411.0,RP-014,Rahul,Maintenance,21.9,Cash,2.5,78.0,4.48,367.0,0.0,2025-07-03 11:27:00
VMX-10057,VM-236,Chennai,College,25-08-2025,20:16:00,P-107,Colgate Mini,Hygiene,137.8,56.0,49.0,7.0,6752.2,RP-015,Anita,Maintenance,18.2,Cash,3.3,44.0,4.95,203.0,1.0,2025-08-25 20:16:00
VMX-10058,VM-122,Mumbai,Metro Station,16-07-2025,15:06:00,P-104,Red Bull,Drinks,73.96,97.0,91.0,6.0,6730.36,RP-012,Rahul,Low Power,24.9,UPI,2.1,106.0,3.63,190.0,0.0,2025-07-16 15:06:00
VMX-10059,VM-118,Pune,Office,12-09-2025,09:49:00,P-109,Doritos,Snacks,131.11,32.0,13.0,19.0,1704.43,RP-008,Suresh,Maintenance,13.8,Card,4.3,87.0,4.35,371.0,0.0,2025-09-12 09:49:00
VMX-10060,VM-047,Chennai,Office,06-07-2025,23:08:00,P-100,Lays Classic,Snacks,53.25,132.0,131.0,1.0,6975.75,RP-014,Amit,Working,12.0,Card,4.6,46.0,3.12,189.0,0.0,2025-07-06 23:08:00
VMX-10061,VM-039,Bangalore,Mall,23-06-2025,03:29:00,P-104,Red Bull,Drinks,137.97,143.0,134.0,9.0,18487.98,RP-013,Fatima,Low Power,11.4,UPI,2.0,68.0,1.49,238.0,1.0,2025-06-23 03:29:00
VMX-10062,VM-242,Hyderabad,Metro Station,25-02-2025,21:14:00,P-109,Doritos,Snacks,63.34,183.0,172.0,11.0,10894.48,RP-018,Deepa,Maintenance,13.3,Cash,3.9,59.0,4.64,204.0,1.0,2025-02-25 21:14:00
VMX-10063,VM-121,Pune,Mall,10-09-2025,03:06:00,P-101,Pepsi Can,Drinks,29.57,29.0,20.0,9.0,591.4,RP-013,Rajesh,Low Power,20.1,Card,4.1,69.0,2.68,430.0,0.0,2025-09-10 03:06:00
Unknown,VM-190,Bangalore,Hospital,28-07-2025,08:02:00,P-106,Snickers Bar,Snacks,101.69,145.0,126.0,19.0,12812.94,RP-015,Suresh,Low Power,11.5,Card,3.1,115.0,4.91,233.0,0.0,2025-07-28 08:02:00
VMX-10065,VM-011,Hyderabad,Office,16-02-2025,21:13:00,P-106,Snickers Bar,Snacks,48.62,51.0,37.0,14.0,1798.94,RP-008,Amit,Maintenance,13.1,Card,2.6,27.0,4.25,169.0,1.0,2025-02-16 21:13:00
VMX-10066,VM-277,Chennai,Mall,22-05-2025,04:08:00,P-102,Bisleri Water,Drinks,120.41,172.0,172.0,0.0,20710.52,RP-004,Mahesh,Working,10.2,Cash,3.8,2.0,1.7,76.0,0.0,2025-05-22 04:08:00
VMX-10067,VM-056,Mumbai,Metro Station,18-08-2025,11:32:00,P-106,Snickers Bar,Snacks,83.65,36.0,21.0,15.0,1756.65,RP-008,Rahul,Working,20.9,Card,3.6,58.0,3.57,65.0,0.0,2025-08-18 11:32:00
VMX-10068,VM-228,Hyderabad,College,09-09-2025,22:58:00,P-107,Colgate Mini,Hygiene,128.62,129.0,126.0,3.0,16206.12,RP-011,Rahul,Working,11.0,UPI,3.9,74.0,3.19,216.0,1.0,2025-09-09 22:58:00
VMX-10069,VM-059,Kolkata,Metro Station,09-08-2025,03:50:00,P-109,Doritos,Snacks,84.28,136.0,120.0,16.0,10113.6,RP-007,Kiran,Low Power,23.3,UPI,3.0,58.0,2.59,423.0,0.0,2025-08-09 03:50:00
VMX-10070,VM-243,Hyderabad,College,11-07-2025,04:43:00,P-105,Dettol Wipe,Hygiene,69.75,190.0,182.0,8.0,12694.5,RP-003,Ravi,Low Power,11.4,Card,3.1,16.0,3.23,350.0,1.0,2025-07-11 04:43:00
VMX-10071,VM-160,Chennai,College,27-01-2025,09:38:00,P-101,Pepsi Can,Drinks,67.51,190.0,177.0,13.0,11949.27,RP-019,Fatima,Working,12.3,UPI,2.7,13.0,2.4,334.0,0.0,2025-01-27 09:38:00
VMX-10072,VM-286,Hyderabad,Metro Station,08-08-2025,17:49:00,P-101,Pepsi Can,Drinks,116.76,166.0,159.0,7.0,18564.84,RP-009,Mahesh,Working,14.1,UPI,4.8,44.0,1.02,495.0,0.0,2025-08-08 17:49:00
VMX-10073,VM-272,Bangalore,Hospital,16-01-2025,02:47:00,P-109,Doritos,Snacks,102.03,37.0,33.0,4.0,3366.99,RP-014,Rajesh,Low Power,12.4,UPI,4.2,99.0,4.77,355.0,0.0,2025-01-16 02:47:00
VMX-10074,VM-218,Mumbai,Metro Station,11-02-2025,08:28:00,P-100,Lays Classic,Snacks,31.78,178.0,177.0,1.0,5625.06,RP-015,Kiran,Low Power,13.2,Card,2.3,55.0,1.44,397.0,1.0,2025-02-11 08:28:00
VMX-10075,VM-004,Bangalore,Office,22-07-2025,19:03:00,P-108,Sprite Bottle,Drinks,103.4,31.0,24.0,7.0,2481.6,RP-007,Amit,Low Power,14.3,Cash,2.0,95.0,2.72,116.0,1.0,2025-07-22 19:03:00
VMX-10076,VM-022,Mumbai,College,01-07-2025,02:25:00,P-108,Sprite Bottle,Drinks,108.51,148.0,131.0,17.0,14214.81,RP-015,Ravi,Low Power,18.6,Card,3.2,81.0,2.67,108.0,1.0,2025-07-01 02:25:00
VMX-10077,VM-186,Hyderabad,Hospital,24-08-2025,22:58:00,P-100,Lays Classic,Snacks,145.27,63.0,44.0,19.0,6391.88,RP-004,Suresh,Low Power,18.8,Card,2.2,111.0,2.24,223.0,0.0,2025-08-24 22:58:00
VMX-10078,VM-100,Kolkata,Office,28-02-2025,16:32:00,P-105,Dettol Wipe,Hygiene,119.08,39.0,23.0,16.0,2738.84,RP-012,Amit,Working,11.5,UPI,2.6,77.0,1.61,438.0,0.0,2025-02-28 16:32:00
VMX-10079,VM-297,Mumbai,Metro Station,26-08-2025,18:48:00,P-102,Bisleri Water,Drinks,143.18,180.0,165.0,15.0,23624.7,RP-020,Deepa,Maintenance,14.7,UPI,2.2,56.0,3.53,457.0,1.0,2025-08-26 18:48:00
VMX-10080,VM-020,Hyderabad,Office,08-06-2025,14:28:00,P-109,Doritos,Snacks,17.86,149.0,147.0,2.0,2625.42,RP-010,Ravi,Maintenance,23.0,Cash,3.8,64.0,2.54,347.0,0.0,2025-06-08 14:28:00
VMX-10081,VM-244,Pune,Mall,07-04-2025,10:38:00,P-107,Colgate Mini,Hygiene,137.27,166.0,146.0,20.0,20041.42,RP-002,Rajesh,Working,22.2,UPI,4.9,10.0,3.02,138.0,0.0,2025-04-07 10:38:00
VMX-10082,VM-187,Chennai,Office,25-09-2025,19:10:00,P-103,Oreo Pack,Snacks,109.07,132.0,116.0,16.0,12652.12,RP-013,Kiran,Low Power,20.2,Cash,4.4,82.0,2.34,218.0,0.0,2025-09-25 19:10:00
VMX-10083,VM-299,Delhi,Mall,18-03-2025,10:05:00,P-108,Sprite Bottle,Drinks,104.97,92.0,84.0,8.0,8817.48,RP-012,Anita,Maintenance,20.5,UPI,2.4,90.0,4.75,208.0,1.0,2025-03-18 10:05:00
VMX-10084,VM-217,Pune,Office,17-02-2025,20:42:00,P-105,Dettol Wipe,Hygiene,123.85,191.0,175.0,16.0,21673.75,RP-001,Deepa,Low Power,12.7,Cash,3.0,98.0,2.95,165.0,0.0,2025-02-17 20:42:00
VMX-10085,VM-270,Hyderabad,Office,04-10-2025,23:56:00,P-102,Bisleri Water,Drinks,20.8,45.0,29.0,16.0,603.2,RP-020,Amit,Maintenance,15.7,Cash,2.5,88.0,4.08,464.0,0.0,2025-10-04 23:56:00
VMX-10086,VM-230,Bangalore,Metro Station,16-08-2025,19:18:00,P-107,Colgate Mini,Hygiene,16.12,113.0,106.0,7.0,1708.72,RP-008,Anita,Low Power,23.6,Cash,3.1,73.0,4.94,286.0,1.0,2025-08-16 19:18:00
VMX-10087,VM-129,Hyderabad,Hospital,13-04-2025,19:08:00,P-106,Snickers Bar,Snacks,80.41,127.0,122.0,5.0,9810.02,RP-012,Fatima,Working,20.7,Card,4.6,36.0,1.34,132.0,1.0,2025-04-13 19:08:00
VMX-10088,VM-231,Chennai,College,16-02-2025,07:52:00,P-107,Colgate Mini,Hygiene,136.74,57.0,44.0,13.0,6016.56,RP-014,Mahesh,Low Power,17.5,Cash,3.2,10.0,2.5,64.0,1.0,2025-02-16 07:52:00
VMX-10089,VM-147,Kolkata,Hospital,16-03-2025,04:02:00,P-101,Pepsi Can,Drinks,127.48,186.0,176.0,10.0,22436.48,RP-005,Rajesh,Low Power,19.2,Cash,2.1,27.0,4.34,330.0,1.0,2025-03-16 04:02:00
VMX-10090,VM-215,Delhi,Metro Station,04-03-2025,01:15:00,P-101,Pepsi Can,Drinks,118.66,80.0,71.0,9.0,8424.86,RP-015,Ravi,Working,22.6,UPI,3.8,2.0,3.53,344.0,0.0,2025-03-04 01:15:00
VMX-10091,VM-214,Bangalore,College,30-06-2025,07:36:00,P-102,Bisleri Water,Drinks,50.78,20.0,1.0,19.0,50.78,RP-017,Deepa,Working,24.3,Card,3.5,64.0,3.22,249.0,1.0,2025-06-30 07:36:00
VMX-10092,VM-035,Chennai,Mall,09-01-2025,11:50:00,P-100,Lays Classic,Snacks,98.99,115.0,107.0,8.0,10591.93,RP-004,Rahul,Maintenance,21.4,Cash,2.1,69.0,2.35,379.0,0.0,2025-01-09 11:50:00
VMX-10093,VM-235,Hyderabad,Office,04-04-2025,04:04:00,P-107,Colgate Mini,Hygiene,147.31,142.0,122.0,20.0,17971.82,RP-007,Mahesh,Working,23.3,UPI,4.8,65.0,2.59,467.0,1.0,2025-04-04 04:04:00
VMX-10094,VM-025,Kolkata,Office,27-05-2025,11:55:00,P-104,Red Bull,Drinks,15.13,185.0,179.0,6.0,2708.27,RP-009,Ravi,Low Power,16.6,UPI,4.2,114.0,4.83,223.0,0.0,2025-05-27 11:55:00
VMX-10095,VM-218,Hyderabad,Hospital,17-05-2025,02:46:00,P-107,Colgate Mini,Hygiene,106.89,114.0,98.0,16.0,10475.22,RP-020,Amit,Maintenance,14.4,Cash,2.2,84.0,2.18,278.0,1.0,2025-05-17 02:46:00
VMX-10096,VM-181,Pune,Hospital,22-01-2025,23:55:00,P-102,Bisleri Water,Drinks,106.57,109.0,95.0,14.0,10124.15,RP-009,Mahesh,Working,20.1,UPI,3.1,102.0,4.0,131.0,0.0,2025-01-22 23:55:00
VMX-10097,VM-121,Kolkata,Office,18-01-2025,04:04:00,P-102,Bisleri Water,Drinks,128.81,193.0,179.0,14.0,23056.99,RP-012,Kiran,Maintenance,10.5,Cash,4.0,47.0,2.49,440.0,0.0,2025-01-18 04:04:00
VMX-10098,VM-128,Hyderabad,College,10-06-2025,20:17:00,P-109,Doritos,Snacks,29.28,113.0,101.0,12.0,2957.28,RP-006,Rajesh,Maintenance,15.8,Card,2.4,99.0,2.04,278.0,0.0,2025-06-10 20:17:00
VMX-10099,VM-038,Mumbai,Mall,04-03-2025,04:54:00,P-109,Doritos,Snacks,49.98,145.0,139.0,6.0,6947.22,RP-015,Ravi,Maintenance,24.5,UPI,4.0,90.0,1.26,327.0,1.0,2025-03-04 04:54:00
VMX-10100,VM-115,Hyderabad,Mall,31-03-2025,11:32:00,P-104,Red Bull,Drinks,129.19,199.0,179.0,20.0,23125.01,RP-005,Suresh,Low Power,10.4,Card,3.7,59.0,4.21,332.0,0.0,2025-03-31 11:32:00
VMX-10101,VM-246,Pune,Hospital,23-07-2025,22:46:00,P-109,Doritos,Snacks,133.79,36.0,27.0,9.0,3612.33,RP-014,Rahul,Working,11.9,UPI,3.9,57.0,2.86,314.0,1.0,2025-07-23 22:46:00
VMX-10102,VM-258,Kolkata,College,04-04-2025,04:27:00,P-102,Bisleri Water,Drinks,132.91,161.0,141.0,20.0,18740.31,RP-004,Fatima,Working,14.6,Cash,3.0,90.0,1.9,315.0,1.0,2025-04-04 04:27:00
VMX-10103,VM-156,Pune,Metro Station,21-05-2025,04:40:00,P-101,Pepsi Can,Drinks,45.08,182.0,165.0,17.0,7438.2,RP-003,Fatima,Maintenance,12.5,Card,2.5,84.0,3.5,359.0,1.0,2025-05-21 04:40:00
VMX-10104,VM-296,Chennai,Mall,24-01-2025,20:49:00,P-109,Doritos,Snacks,15.77,27.0,25.0,2.0,394.25,RP-019,Kiran,Maintenance,19.6,UPI,4.7,69.0,2.16,204.0,1.0,2025-01-24 20:49:00
VMX-10105,VM-031,Bangalore,Hospital,02-06-2025,14:04:00,P-103,Oreo Pack,Snacks,122.66,195.0,183.0,12.0,22446.78,RP-014,Rajesh,Low Power,13.1,Card,2.4,110.0,3.87,425.0,1.0,2025-06-02 14:04:00
VMX-10106,VM-239,Hyderabad,Office,24-02-2025,10:15:00,P-106,Snickers Bar,Snacks,28.31,114.0,98.0,16.0,2774.38,RP-015,Suresh,Working,11.5,UPI,4.8,110.0,3.46,177.0,0.0,2025-02-24 10:15:00
VMX-10107,VM-240,Mumbai,Office,23-03-2025,15:32:00,P-105,Dettol Wipe,Hygiene,140.73,100.0,94.0,6.0,13228.62,RP-016,Mahesh,Working,24.2,Card,3.4,30.0,1.86,230.0,0.0,2025-03-23 15:32:00
