transaction_id,machine_id,location_city,location_type,refill_date,refill_time,product_id,product_name,product_category,unit_price,quantity_refilled,quantity_sold,current_stock,revenue_generated,refill_person_id,refill_person_name,machine_status,temperature_C,payment_method,avg_customer_rating,downtime_minutes,power_consumption_kwh,network_latency_ms,maintenance_flag
VMX-10022,VM-241,Bangalore,Mall,15-07-2025,01:54:00,P-104,Red Bull,Drinks,32.29,199,196,3,6328.84,RP-015,Deepa,Low Power,22.3,Cash,2.7,84,1.77,218,1
VMX-10023,VM-275,Chennai,College,18-09-2025,12:43:00,P-101,Pepsi Can,Drinks,145.36,91,80,11,11628.8,RP-004,Anita,Working,18.7,UPI,2.1,,2.74,423,1
VMX-10024,VM-131,Hyderabad,Hospital,17-07-2025,18:12:00,P-106,Snickers Bar,Snacks,94.87,150,147,3,13945.89,RP-001,Fatima,Maintenance,20.3,Card,4.2,25,2.46,85,1
VMX-10025,VM-210,Chennai,Hospital,17-09-2025,09:42:00,P-109,Doritos,Snacks,53.95,51,42,9,2265.9,RP-010,Fatima,Working,12.9,Card,4.8,86,3.99,139,1
VMX-10026,VM-297,Pune,Office,27-05-2025,06:27:00,P-106,Snickers Bar,Snacks,86.71,20,11,9,953.81,RP-015,Rajesh,Low Power,20.1,Card,3.4,115,4.84,426,0
VMX-10027,VM-121,Delhi,Office,21-06-2025,02:52:00,P-101,Pepsi Can,Drinks,49.73,189,169,20,8404.37,RP-008,Suresh,Working,10.4,Cash,5,78,4.4,87,1
VMX-10028,VM-125,Bangalore,College,16-07-2025,15:25:00,P-106,Snickers Bar,Snacks,134.06,167,161,6,21583.66,RP-004,Kiran,Working,12.6,Card,3.6,6,3.23,484,0
VMX-10029,VM-259,Mumbai,Metro Station,12-06-2025,14:39:00,P-107,Colgate Mini,Hygiene,28.67,138,122,16,3497.74,RP-015,Amit,Maintenance,22.9,UPI,2.8,31,4.36,191,1
VMX-10030,VM-164,Pune,College,01-05-2025,08:21:00,P-103,Oreo Pack,Snacks,48.44,39,30,9,1453.2,RP-005,Amit,Working,15.7,Cash,4.1,8,2.66,219,1
VMX-10031,VM-245,Hyderabad,Office,11-01-2025,18:24:00,P-106,Snickers Bar,Snacks,18.72,127,115,12,2152.8,RP-010,Kiran,Low Power,18.1,Card,3.6,77,4.59,299,0
VMX-10032,VM-208,Delhi,Mall,22-06-2025,21:43:00,P-104,Red Bull,Drinks,71.02,27,15,12,1065.3,RP-015,Amit,Maintenance,18,UPI,3.8,84,1.11,379,1
VMX-10033,VM-109,Mumbai,Office,14-05-2025,12:20:00,P-102,Bisleri Water,Drinks,131.36,66,65,1,8538.4,RP-011,Kiran,Low Power,21.3,UPI,2.8,10,2.88,433,0
VMX-10034,VM-103,Kolkata,College,21-01-2025,00:15:00,P-105,Dettol Wipe,Hygiene,41.39,37,17,20,703.63,RP-020,Amit,Working,11.9,Card,2.3,27,2.86,181,1
VMX-10035,VM-014,Chennai,Metro Station,09-06-2025,03:37:00,P-102,Bisleri Water,Drinks,94.82,49,44,5,4172.08,RP-013,Kiran,Maintenance,13,Card,4.1,80,1.97,406,1
VMX-10036,VM-190,Hyderabad,Metro Station,27-06-2025,17:27:00,P-109,Doritos,Snacks,122.77,164,163,1,20011.51,RP-011,Mahesh,Low Power,22.3,Cash,3.3,46,3.54,474,1
VMX-10037,VM-276,Kolkata,Hospital,19-05-2025,19:51:00,P-102,Bisleri Water,Drinks,70.97,153,133,20,9439.01,RP-015,Kiran,Maintenance,18.9,UPI,4.6,106,4.74,192,1
VMX-10038,VM-254,Kolkata,Office,14-07-2025,10:01:00,P-103,Oreo Pack,Snacks,115.07,165,146,19,16800.22,RP-006,Rajesh,Working,15.3,UPI,3,112,3.38,500,1
VMX-10039,VM-251,Pune,Mall,04-05-2025,23:26:00,P-108,Sprite Bottle,Drinks,11.42,68,66,2,753.72,RP-016,Rajesh,Low Power,21.9,Cash,2.9,51,3.77,206,1
VMX-10040,VM-233,Chennai,Office,19-06-2025,11:44:00,P-107,Colgate Mini,Hygiene,87.49,108,95,13,8311.55,RP-009,Suresh,Working,20.8,UPI,2.4,68,4.8,403,0
VMX-10041,VM-052,Kolkata,Mall,26-09-2025,19:18:00,P-103,Oreo Pack,Snacks,40.29,143,135,8,5439.15,RP-010,Suresh,Low Power,12.7,Cash,4.1,16,2.1,77,1
VMX-10042,VM-241,Mumbai,Hospital,07-01-2025,18:18:00,P-102,Bisleri Water,Drinks,99.3,145,142,3,14100.6,RP-011,Amit,Working,13.8,UPI,2.3,8,2.6,87,0
VMX-10043,VM-286,Kolkata,Hospital,13-02-2025,07:07:00,P-102,Bisleri Water,Drinks,30.89,164,155,9,4787.95,RP-020,Rahul,Maintenance,13.4,Card,3.1,116,2.77,490,1
VMX-10044,VM-109,Chennai,College,20-02-2025,06:40:00,P-104,Red Bull,Drinks,89.61,35,16,19,1433.76,RP-006,Suresh,Working,18.3,Cash,2,57,3.76,290,1
VMX-10045,VM-120,Chennai,Metro Station,21-08-2025,02:43:00,P-100,Lays Classic,Snacks,42.41,200,191,9,8100.31,RP-007,Kiran,Working,18.2,Card,2.4,34,4.31,86,0
VMX-10046,VM-240,Delhi,Office,28-05-2025,14:07:00,P-102,Bisleri Water,Drinks,120.97,172,154,18,18629.38,RP-013,Anita,Maintenance,18.1,UPI,2.2,5,4.56,426,1
VMX-10047,VM-138,Pune,College,11-01-2025,21:52:00,P-109,Doritos,Snacks,45.05,43,36,7,1621.8,RP-006,Rajesh,Maintenance,19.8,UPI,2.5,74,2.74,466,1
VMX-10048,VM-083,Chennai,Hospital,14-06-2025,21:06:00,P-101,Pepsi Can,Drinks,75.8,124,114,10,8641.2,RP-016,Anita,Maintenance,24.2,Card,2.1,11,2.26,215,0
VMX-10049,VM-097,Pune,Office,25-08-2025,13:03:00,P-106,Snickers Bar,Snacks,131.09,20,3,17,393.27,RP-020,Rajesh,Maintenance,16.6,Cash,2.6,70,1.52,197,1
VMX-10050,VM-160,Pune,College,03-05-2025,22:10:00,P-107,Colgate Mini,Hygiene,27,181,162,19,4374,RP-018,Kiran,Working,13.4,Cash,3.4,15,3.59,128,1
VMX-10051,VM-234,Pune,Mall,05-09-2025,15:15:00,P-104,Red Bull,Drinks,81.24,89,76,13,6174.24,RP-013,Suresh,Maintenance,17.6,Cash,4.6,35,4.09,487,1
VMX-10052,VM-153,Kolkata,Metro Station,02-01-2025,09:46:00,P-105,Dettol Wipe,Hygiene,140.79,149,141,8,19851.39,RP-019,Rajesh,Working,16.7,UPI,3,70,4.05,243,1
VMX-10053,VM-211,Hyderabad,Office,16-07-2025,07:54:00,P-105,Dettol Wipe,Hygiene,131.74,198,191,7,25162.34,RP-016,Kiran,Low Power,24.8,Card,4.9,63,4.86,114,1
VMX-10054,VM-074,Mumbai,Mall,27-09-2025,14:00:00,P-101,Pepsi Can,Drinks,132.39,132,129,3,17078.31,RP-003,Rajesh,Low Power,15.1,Card,3.2,10,4.41,486,1
VMX-10055,VM-121,Delhi,Office,19-01-2025,19:04:00,P-105,Dettol Wipe,Hygiene,97.75,144,127,17,12414.25,RP-008,Ravi,Low Power,24.7,Card,4.1,12,2.77,405,1
VMX-10056,VM-075,Bangalore,Metro Station,03-07-2025,11:27:00,P-100,Lays Classic,Snacks,16.44,34,25,9,411,RP-014,Rahul,Maintenance,21.9,Cash,2.5,78,4.48,367,0
VMX-10057,VM-236,Chennai,College,25-08-2025,20:16:00,P-107,Colgate Mini,Hygiene,137.8,56,49,7,6752.2,RP-015,Anita,Maintenance,18.2,Cash,3.3,44,4.95,203,1
VMX-10058,VM-122,Mumbai,Metro Station,16-07-2025,15:06:00,P-104,Red Bull,Drinks,73.96,97,91,6,6730.36,RP-012,Rahul,Low Power,24.9,UPI,2.1,106,3.63,190,0
VMX-10059,VM-118,Pune,Office,12-09-2025,09:49:00,P-109,Doritos,Snacks,131.11,32,13,19,1704.43,RP-008,Suresh,Maintenance,13.8,Card,4.3,87,4.35,371,0
VMX-10060,VM-047,Chennai,Office,06-07-2025,23:08:00,P-100,Lays Classic,Snacks,53.25,132,131,1,6975.75,RP-014,Amit,Working,12,Card,4.6,46,3.12,189,0
VMX-10061,VM-039,Bangalore,Mall,23-06-2025,03:29:00,P-104,Red Bull,Drinks,137.97,143,134,9,18487.98,RP-013,Fatima,Low Power,11.4,UPI,2,68,1.49,238,1
VMX-10062,VM-242,Hyderabad,Metro Station,25-02-2025,21:14:00,P-109,Doritos,Snacks,63.34,183,172,11,10894.48,RP-018,Deepa,Maintenance,13.3,Cash,3.9,59,4.64,204,1
VMX-10063,VM-121,Pune,Mall,10-09-2025,03:06:00,P-101,Pepsi Can,Drinks,29.57,29,20,9,591.4,RP-013,Rajesh,Low Power,20.1,Card,4.1,69,2.68,430,0
,VM-190,Bangalore,Hospital,28-07-2025,08:02:00,P-106,Snickers Bar,Snacks,101.69,145,126,19,12812.94,RP-015,Suresh,Low Power,11.5,Card,3.1,115,4.91,233,0
VMX-10065,VM-011,Hyderabad,Office,16-02-2025,21:13:00,P-106,Snickers Bar,Snacks,48.62,51,37,14,1798.94,RP-008,Amit,Maintenance,13.1,Card,2.6,27,4.25,169,1
VMX-10066,VM-277,Chennai,Mall,22-05-2025,04:08:00,P-102,Bisleri Water,Drinks,120.41,172,172,0,20710.52,RP-004,Mahesh,Working,10.2,Cash,3.8,2,1.7,76,0
VMX-10067,VM-056,Mumbai,Metro Station,18-08-2025,11:32:00,P-106,Snickers Bar,Snacks,83.65,36,21,15,1756.65,RP-008,Rahul,Working,20.9,Card,3.6,58,3.57,65,0
VMX-10068,VM-228,Hyderabad,College,09-09-2025,22:58:00,P-107,Colgate Mini,Hygiene,128.62,129,126,3,16206.12,RP-011,Rahul,Working,11,UPI,3.9,74,3.19,216,1
VMX-10069,VM-059,Kolkata,Metro Station,09-08-2025,03:50:00,P-109,Doritos,Snacks,84.28,136,120,16,10113.6,RP-007,Kiran,Low Power,23.3,UPI,3,58,2.59,423,0
VMX-10070,VM-243,Hyderabad,College,11-07-2025,04:43:00,P-105,Dettol Wipe,Hygiene,69.75,190,182,8,12694.5,RP-003,Ravi,Low Power,11.4,Card,3.1,16,3.23,350,1
VMX-10071,VM-160,Chennai,College,27-01-2025,09:38:00,P-101,Pepsi Can,Drinks,67.51,190,177,13,11949.27,RP-019,Fatima,Working,12.3,UPI,2.7,13,2.4,334,
VMX-10072,VM-286,Hyderabad,Metro Station,08-08-2025,17:49:00,P-101,Pepsi Can,Drinks,116.76,166,159,7,18564.84,RP-009,Mahesh,Working,14.1,UPI,4.8,44,1.02,495,0
VMX-10073,VM-272,Bangalore,Hospital,16-01-2025,02:47:00,P-109,Doritos,Snacks,102.03,37,33,4,3366.99,RP-014,Rajesh,Low Power,12.4,UPI,4.2,99,4.77,355,0
VMX-10074,VM-218,Mumbai,Metro Station,11-02-2025,08:28:00,P-100,Lays Classic,Snacks,31.78,178,177,1,5625.06,RP-015,Kiran,Low Power,13.2,Card,2.3,55,1.44,397,1
VMX-10075,VM-004,Bangalore,Office,22-07-2025,19:03:00,P-108,Sprite Bottle,Drinks,103.4,31,24,7,2481.6,RP-007,Amit,Low Power,14.3,Cash,2,95,2.72,116,1
VMX-10076,VM-022,Mumbai,College,01-07-2025,02:25:00,P-108,Sprite Bottle,Drinks,108.51,148,131,17,14214.81,RP-015,Ravi,Low Power,18.6,Card,3.2,81,2.67,108,1
VMX-10077,VM-186,Hyderabad,Hospital,24-08-2025,22:58:00,P-100,Lays Classic,Snacks,145.27,63,44,19,6391.88,RP-004,Suresh,Low Power,18.8,Card,2.2,111,2.24,223,0
VMX-10078,VM-100,Kolkata,Office,28-02-2025,16:32:00,P-105,Dettol Wipe,Hygiene,119.08,39,23,16,2738.84,RP-012,Amit,Working,11.5,UPI,2.6,77,1.61,438,0
VMX-10079,VM-297,Mumbai,Metro Station,26-08-2025,18:48:00,P-102,Bisleri Water,Drinks,143.18,180,165,15,23624.7,RP-020,Deepa,Maintenance,14.7,UPI,2.2,56,3.53,457,1
VMX-10080,VM-020,Hyderabad,Office,08-06-2025,14:28:00,P-109,Doritos,Snacks,17.86,149,147,2,2625.42,RP-010,Ravi,Maintenance,23,Cash,3.8,64,2.54,347,0
VMX-10081,VM-244,Pune,Mall,07-04-2025,10:38:00,P-107,Colgate Mini,Hygiene,137.27,166,146,20,20041.42,RP-002,Rajesh,Working,22.2,UPI,4.9,10,3.02,138,0
VMX-10082,VM-187,Chennai,Office,25-09-2025,19:10:00,P-103,Oreo Pack,Snacks,109.07,132,116,16,12652.12,RP-013,Kiran,Low Power,20.2,Cash,4.4,82,2.34,218,0
VMX-10083,VM-299,Delhi,Mall,18-03-2025,10:05:00,P-108,Sprite Bottle,Drinks,104.97,92,84,8,8817.48,RP-012,Anita,Maintenance,20.5,UPI,2.4,90,4.75,208,1
VMX-10084,VM-217,Pune,Office,17-02-2025,20:42:00,P-105,Dettol Wipe,Hygiene,123.85,191,175,16,21673.75,RP-001,Deepa,Low Power,12.7,Cash,3,98,2.95,165,0
VMX-10085,VM-270,Hyderabad,Office,04-10-2025,23:56:00,P-102,Bisleri Water,Drinks,20.8,45,29,16,603.2,RP-020,Amit,Maintenance,15.7,Cash,2.5,88,4.08,464,0
VMX-10086,VM-230,Bangalore,Metro Station,16-08-2025,19:18:00,P-107,Colgate Mini,Hygiene,16.12,113,106,7,1708.72,RP-008,Anita,Low Power,23.6,Cash,3.1,73,4.94,286,1
VMX-10087,VM-129,Hyderabad,Hospital,13-04-2025,19:08:00,P-106,Snickers Bar,Snacks,80.41,127,122,5,9810.02,RP-012,Fatima,Working,20.7,Card,4.6,36,1.34,132,1
VMX-10088,VM-231,Chennai,College,16-02-2025,07:52:00,P-107,Colgate Mini,Hygiene,136.74,57,44,13,6016.56,RP-014,Mahesh,Low Power,17.5,Cash,3.2,10,2.5,64,1
VMX-10089,VM-147,Kolkata,Hospital,16-03-2025,04:02:00,P-101,Pepsi Can,Drinks,127.48,186,176,10,22436.48,RP-005,Rajesh,Low Power,19.2,Cash,2.1,27,4.34,330,1
VMX-10090,VM-215,Delhi,Metro Station,04-03-2025,01:15:00,P-101,Pepsi Can,Drinks,118.66,80,71,9,8424.86,RP-015,Ravi,Working,22.6,UPI,3.8,2,3.53,344,0
VMX-10091,VM-214,Bangalore,College,30-06-2025,07:36:00,P-102,Bisleri Water,Drinks,50.78,20,1,19,50.78,RP-017,Deepa,Working,24.3,Card,3.5,64,3.22,249,1
VMX-10092,VM-035,Chennai,Mall,09-01-2025,11:50:00,P-100,Lays Classic,Snacks,98.99,115,107,8,10591.93,RP-004,Rahul,Maintenance,21.4,Cash,2.1,69,2.35,379,0
VMX-10093,VM-235,Hyderabad,Office,04-04-2025,04:04:00,P-107,Colgate Mini,Hygiene,147.31,142,122,20,17971.82,RP-007,Mahesh,Working,23.3,UPI,4.8,65,2.59,467,1
VMX-10094,VM-025,Kolkata,Office,27-05-2025,11:55:00,P-104,Red Bull,Drinks,15.13,185,179,6,2708.27,RP-009,Ravi,Low Power,16.6,UPI,4.2,114,4.83,223,0
VMX-10095,VM-218,Hyderabad,Hospital,17-05-2025,02:46:00,P-107,Colgate Mini,Hygiene,106.89,114,98,16,10475.22,RP-020,Amit,Maintenance,14.4,Cash,2.2,84,2.18,278,1
VMX-10096,VM-181,Pune,Hospital,22-01-2025,23:55:00,P-102,Bisleri Water,Drinks,106.57,109,95,14,10124.15,RP-009,Mahesh,Working,20.1,UPI,3.1,102,4,131,0
VMX-10097,VM-121,Kolkata,Office,18-01-2025,04:04:00,P-102,Bisleri Water,Drinks,128.81,193,179,14,23056.99,RP-012,Kiran,Maintenance,10.5,Cash,4,47,2.49,440,0
VMX-10098,VM-128,Hyderabad,College,10-06-2025,20:17:00,P-109,Doritos,Snacks,29.28,113,101,12,2957.28,RP-006,Rajesh,Maintenance,15.8,Card,2.4,99,2.04,278,0
VMX-10099,VM-038,Mumbai,Mall,04-03-2025,04:54:00,P-109,Doritos,Snacks,49.98,145,139,6,6947.22,RP-015,Ravi,Maintenance,24.5,UPI,4,90,1.26,327,1
VMX-10100,VM-115,Hyderabad,Mall,31-03-2025,11:32:00,P-104,Red Bull,Drinks,129.19,199,179,20,23125.01,RP-005,Suresh,Low Power,10.4,Card,3.7,59,4.21,332,0
VMX-10101,VM-246,Pune,Hospital,23-07-2025,22:46:00,P-109,Doritos,Snacks,133.79,36,27,9,3612.33,RP-014,Rahul,Working,11.9,UPI,3.9,57,2.86,314,1
VMX-10102,VM-258,Kolkata,College,04-04-2025,04:27:00,P-102,Bisleri Water,Drinks,132.91,161,141,20,18740.31,RP-004,Fatima,Working,14.6,Cash,3,90,1.9,315,1
VMX-10103,VM-156,Pune,Metro Station,21-05-2025,04:40:00,P-101,Pepsi Can,Drinks,45.08,182,165,17,7438.2,RP-003,Fatima,Maintenance,12.5,Card,2.5,84,3.5,359,1
VMX-10104,VM-296,Chennai,Mall,24-01-2025,20:49:00,P-109,Doritos,Snacks,15.77,27,25,2,394.25,RP-019,Kiran,Maintenance,19.6,UPI,4.7,69,2.16,204,1
VMX-10105,VM-031,Bangalore,Hospital,02-06-2025,14:04:00,P-103,Oreo Pack,Snacks,122.66,195,183,12,22446.78,RP-014,Rajesh,Low Power,13.1,Card,2.4,110,3.87,425,1
VMX-10106,VM-239,Hyderabad,Office,24-02-2025,10:15:00,P-106,Snickers Bar,Snacks,28.31,114,98,16,2774.38,RP-015,Suresh,Working,11.5,UPI,4.8,110,3.46,177,0
VMX-10107,VM-240,Mumbai,Office,23-03-2025,15:32:00,P-105,Dettol Wipe,Hygiene,140.73,100,94,6,13228.62,RP-016,Mahesh,Working,24.2,Card,3.4,30,1.86,230,0
VMX-10108,VM-005,Kolkata,College,29-08-2025,09:34:00,P-100,Lays Classic,Snacks,49.39,172,152,20,7507.28,RP-014,Amit,Low Power,20.9,UPI,3.1,51,1.2,337,0
VMX-10109,VM-282,Chennai,Metro Station,16-09-2025,14:48:00,P-105,Dettol Wipe,Hygiene,87.45,38,26,12,2273.7,RP-020,Ravi,Working,24.6,UPI,3.1,43,3.23,237,0
VMX-10110,VM-071,Delhi,Office,21-01-2025,01:02:00,P-103,Oreo Pack,Snacks,94.34,122,106,16,10000.04,RP-016,Fatima,Low Power,12.2,Card,2.4,119,3.45,133,1
VMX-10111,VM-261,Pune,Hospital,22-06-2025,16:53:00,P-109,Doritos,Snacks,113.5,96,78,18,8853,RP-019,Anita,Low Power,22.2,UPI,3,14,4.92,348,1
VMX-10112,VM-299,Mumbai,Mall,27-04-2025,23:03:00,P-100,Lays Classic,Snacks,93.57,87,67,20,6269.19,RP-017,Rahul,Low Power,12.2,Card,2.7,73,4.79,106,0
VMX-10113,VM-211,Pune,Metro Station,31-07-2025,22:13:00,P-100,Lays Classic,Snacks,71.75,127,123,4,8825.25,RP-016,Mahesh,Maintenance,12.1,Cash,3.7,84,2.91,242,1
VMX-10114,VM-136,Pune,Hospital,07-10-2025,11:43:00,P-102,Bisleri Water,Drinks,74.35,156,146,10,10855.1,RP-007,Suresh,Low Power,18.4,Cash,4.8,38,4.08,410,0
VMX-10115,VM-294,Delhi,Metro Station,21-05-2025,09:07:00,P-107,Colgate Mini,Hygiene,54.39,109,92,17,5003.88,RP-013,Kiran,Low Power,24.3,Cash,2.9,36,4.82,90,1
VMX-10116,VM-288,Delhi,Office,14-04-2025,17:17:00,P-107,Colgate Mini,Hygiene,101.84,142,136,6,13850.24,RP-005,Ravi,Maintenance,21.1,Cash,2.7,85,4.62,165,0
VMX-10117,VM-071,Hyderabad,Metro Station,21-02-2025,21:49:00,P-100,Lays Classic,Snacks,24.03,104,89,15,2138.67,RP-006,Kiran,Maintenance,24,UPI,3.4,25,4.02,197,1
VMX-10118,VM-020,Bangalore,Hospital,29-04-2025,17:47:00,P-104,Red Bull,Drinks,100.43,42,-26,20,2209.46,RP-006,Mahesh,Low Power,21.8,Cash,4.8,111,4.7,498,0
VMX-10119,VM-279,Pune,Hospital,21-06-2025,09:29:00,P-100,Lays Classic,Snacks,51.77,174,171,3,8852.67,RP-005,Fatima,Low Power,14.1,Cash,3,93,2.84,181,0
VMX-10120,VM-208,Kolkata,Hospital,09-04-2025,05:39:00,P-100,Lays Classic,Snacks,113.13,95,77,18,8711.01,RP-017,Deepa,Working,16,Cash,2.6,17,2.91,177,0
VMX-10121,VM-294,Hyderabad,Office,18-06-2025,09:37:00,P-104,Red Bull,Drinks,63.7,134,126,8,8026.2,RP-012,Suresh,Working,20,UPI,2.9,51,3.74,410,1
VMX-10122,VM-245,Bangalore,Hospital,24-04-2025,07:08:00,P-101,Pepsi Can,Drinks,99.42,95,84,11,8351.28,RP-020,Deepa,Low Power,20.5,UPI,4.3,102,3.66,161,0
VMX-10123,VM-186,Hyderabad,Metro Station,17-08-2025,16:45:00,P-109,Doritos,Snacks,132.24,40,24,16,3173.76,RP-004,Mahesh,Maintenance,23.5,Cash,3.7,19,1.66,487,1
VMX-10124,VM-029,Mumbai,Mall,16-02-2025,16:28:00,P-101,Pepsi Can,Drinks,105.24,169,154,15,16206.96,RP-017,Kiran,Low Power,18.5,Card,3.4,103,2.23,61,1
VMX-10125,VM-177,Delhi,College,07-02-2025,01:27:00,,Red Bull,Drinks,124.3,75,57,18,7085.1,RP-018,Mahesh,Working,24.8,UPI,2.1,52,1.72,119,1
VMX-10126,VM-277,Bangalore,Office,13-07-2025,12:05:00,P-105,Dettol Wipe,Hygiene,149,117,103,14,15347,RP-004,Amit,Maintenance,15.9,Cash,4.2,28,4.34,437,0
VMX-10127,VM-118,Bangalore,Hospital,30-09-2025,12:52:00,P-104,Red Bull,Drinks,74.82,159,146,13,10923.72,RP-012,Amit,Low Power,12.8,Card,4.3,4,4.24,264,0
VMX-10128,VM-025,Bangalore,College,18-01-2025,14:38:00,P-103,Oreo Pack,Snacks,38.85,45,26,19,1010.1,RP-013,Rajesh,Working,18.1,Cash,2.4,37,1.94,424,1
VMX-10129,VM-074,Delhi,Metro Station,02-05-2025,09:56:00,P-109,Doritos,Snacks,93.71,192,182,10,17055.22,RP-008,Kiran,Low Power,14.1,Card,4.8,112,3.94,139,1
VMX-10130,VM-214,Mumbai,Mall,15-07-2025,16:20:00,P-108,Sprite Bottle,Drinks,79.39,108,88,20,6986.32,RP-010,Kiran,Working,21.3,UPI,2.7,28,2.2,412,0
VMX-10131,VM-069,Mumbai,Mall,02-08-2025,17:33:00,P-107,Colgate Mini,Hygiene,138.06,163,150,13,20709,RP-009,Suresh,Low Power,19.7,UPI,4.5,11,3.14,474,0
VMX-10132,VM-287,Bangalore,Hospital,21-01-2025,02:12:00,P-100,Lays Classic,Snacks,47.58,192,173,19,8231.34,RP-007,Deepa,Low Power,24.4,Cash,2.6,24,4.85,110,1
VMX-10133,VM-165,Kolkata,Office,23-07-2025,07:35:00,P-103,Oreo Pack,Snacks,107.39,200,194,6,20833.66,RP-013,Rajesh,Maintenance,19.7,UPI,2.8,65,4.53,288,0
VMX-10134,VM-024,Pune,Mall,09-07-2025,10:26:00,P-107,Colgate Mini,Hygiene,116.63,101,95,6,11079.85,RP-005,Mahesh,Low Power,18.3,Card,3.7,53,2.18,150,1
